Name,JonathanPeriod,Genre,Wells Taylor date,Date,FirstPer,SelfDisclosure,SelfReluctance,Autobio,PrivateThinking,Confidence,Uncertainty,Disclosure,Intensity,Immediacy,SubjectiveTime,SubjectivePercept,Positivity,Negativity,Anger,Fear,Sad,Reluctance,Apology,ProjectAhead,PredictedFuture,ProjectBack,Future_in_Past,SenseProperty,SenseObject,SpaceRelation,SceneShift,Motions,DialogCues,OralCues,Promise,Self_Promise,Reassure,Reinforce,Acknowledge,Inclusive,Confront,Precedent,CommonAuthorities,PriorKnowledge,ReceivedPOV,ConfirmedThght,StandardsPos,Innovations,StandardsNeg,Responsibility,ReasonForward,ReasonBackward,DirectReasoning,Support,Contingency,DenyDisclaim,Concessive,Resistance,Curiosity,Request,DirectAddress,Question,Future_Question,OpenQuery,FollowUp,Feedback,PosFeedback,NegFeedback,PersonPronoun,Aside,Generalization,Example,Comparison,Resemblances,Specifiers,Exceptions,Definition,PersonProperty,CommunicatorRole,LangRef,AbstractConcepts,Citations,Quotation,ReportingStates,ReportingEvents,RecurringEvents,GenericEvents,Sequence,MatureProcess,Cause,Transformation,Substitution,Updates,Imperative,Procedures,MoveBody,ConfirmExperience,ErrorRecovery,Insist,Meta_Discourse,Narrative_Verbs,TimeShift,TimeDuration,Biographical_Time,TimeDate
Taming of the Shrew,1,Comedy,1590,1593,3.18,0.85,0.01,0.22,0.24,0.39,0.34,0.04,0.87,0.5,0.15,0.85,1.99,1.89,0.09,0.08,0.12,0.01,0,0.84,0.54,0.52,0,1.33,3.23,1.29,0.26,0.82,0,0.62,0.01,0.02,0.03,0,0.07,0.33,0.02,0,0.75,0.01,0.02,0.01,1.59,0.01,0.37,0.04,0.66,0.04,0,0.01,0.87,1.31,0.09,0.88,0.19,0.12,4.12,2.19,0.08,0.01,0,0,0.01,0,1.71,0.05,0.25,0.01,0.58,0.14,0.59,0.06,0,3.19,0,1.18,3.28,0.43,0,1.59,2.78,0.13,0.23,0.46,0,0.11,0.16,0.02,0.42,0.35,0.01,0.01,0,0,0.39,0.21,0.11,0.16,0.46,0.14,0.02
Two Gentlemen of Verona,1,Comedy,1590,1594,3.3,1.03,0,0.24,0.38,0.39,0.38,0.06,0.84,0.5,0.24,0.83,2.52,2.09,0.14,0.15,0.32,0.04,0,0.78,0.45,0.62,0,1.06,2.62,1.14,0.37,0.65,0.01,0.68,0,0.01,0.01,0,0.07,0.26,0.01,0,0.81,0,0.02,0.02,1.96,0,0.71,0.01,0.65,0.08,0,0,1.06,1.32,0.06,1.16,0.16,0.05,4.26,2.18,0.14,0.02,0,0,0,0,2.23,0.05,0.17,0.01,0.7,0.13,0.74,0.13,0,2.43,0,1.29,3.25,0.37,0,1.8,2.88,0.25,0.22,0.37,0,0.09,0.2,0.03,0.46,0.31,0,0,0,0,0.4,0.25,0.12,0.24,0.33,0.11,0
2 KING HENRY VI,1,History,1591,1590,2.35,0.78,0,0.16,0.25,0.26,0.2,0.14,0.78,0.57,0.19,0.76,1.17,2.65,0.23,0.21,0.25,0.03,0,1,0.41,0.65,0,1.04,3.71,1.37,0.29,0.9,0,0.53,0.01,0,0.02,0,0.06,0.48,0.01,0,2.05,0.01,0.01,0.01,1.88,0,0.86,0.02,0.62,0.06,0.01,0.01,0.84,1,0.07,1.14,0.09,0.04,3.5,1.78,0.09,0.02,0,0,0,0,1.64,0.03,0.23,0.01,0.55,0.14,0.56,0.06,0.01,2.49,0,0.84,3.99,0.31,0,1.84,3,0.17,0.21,0.49,0,0.12,0.16,0.02,0.3,0.34,0,0,0,0,0.34,0.17,0.14,0.14,0.43,0.21,0.02
3 KING HENRY VI,1,History,1591,1590,2.62,0.71,0,0.18,0.22,0.24,0.25,0.07,0.68,0.59,0.18,0.77,1.39,2.35,0.2,0.21,0.42,0.02,0,0.98,0.43,0.66,0,1.16,3.58,1.39,0.33,0.84,0,0.58,0,0.01,0.04,0,0.05,0.73,0.01,0,1.67,0.01,0,0.01,1.95,0,0.63,0.01,0.66,0.03,0,0.01,0.91,1.04,0.09,1.37,0.15,0.02,3.59,1.76,0.09,0.04,0.01,0,0.01,0,1.74,0.06,0.19,0,0.57,0.14,0.61,0.06,0,3.38,0,0.89,3.47,0.25,0,1.59,2.71,0.19,0.19,0.45,0,0.11,0.17,0.01,0.34,0.28,0.01,0,0.01,0,0.4,0.22,0.16,0.12,0.6,0.16,0.01
1 KING HENRY VI,1,History,1592,1591,2.46,0.63,0,0.18,0.26,0.32,0.25,0.09,0.94,0.57,0.22,1.11,1.26,2.97,0.25,0.16,0.16,0.02,0,0.79,0.56,0.7,0,1.18,3.17,1.48,0.34,0.66,0.01,0.38,0.01,0.01,0.04,0,0.02,0.64,0,0,1.64,0.01,0.02,0.01,2.5,0.01,0.82,0.02,0.65,0.05,0,0.02,0.96,1.13,0.05,1.31,0.14,0.03,3.7,1.45,0.11,0.01,0,0,0,0,1.69,0.06,0.17,0.01,0.5,0.12,0.65,0.1,0,2.65,0,0.56,3.94,0.21,0,1.59,2.65,0.15,0.31,0.56,0,0.13,0.17,0.04,0.28,0.38,0.01,0.01,0,0,0.33,0.2,0.11,0.15,0.5,0.18,0
KING RICHARD III,1,History,1592,1592,2.92,0.81,0.01,0.23,0.33,0.29,0.31,0.19,0.89,0.48,0.23,0.9,1.67,3.1,0.27,0.25,0.36,0.03,0,0.74,0.4,0.68,0.01,1.2,2.92,1.17,0.3,0.64,0.01,0.42,0,0.01,0.02,0,0.05,0.55,0.01,0,1.63,0.01,0.01,0.01,2.22,0.01,0.66,0.02,0.55,0.04,0.01,0.01,0.8,1.08,0.04,1.12,0.11,0.07,4.11,1.76,0.09,0.02,0,0,0.01,0,1.77,0.13,0.2,0,0.5,0.07,0.61,0.06,0.01,2.75,0,0.75,3.46,0.34,0,1.45,2.57,0.17,0.21,0.44,0,0.1,0.18,0.01,0.4,0.35,0.01,0.01,0,0,0.37,0.22,0.13,0.16,0.51,0.15,0.02
Titus Andronicus,1,Tragedy,1592,1593,2.54,0.62,0,0.17,0.24,0.33,0.29,0.1,0.86,0.62,0.08,0.83,1.57,2.86,0.23,0.17,0.51,0.01,0,0.65,0.49,0.52,0,1.39,3.84,1.36,0.24,0.91,0.01,0.45,0.02,0.03,0.05,0,0.05,0.61,0.01,0,1.06,0,0.04,0.02,1.99,0,0.59,0.01,0.6,0.05,0.01,0.01,0.84,1.08,0.08,0.97,0.15,0.07,3.96,1.55,0.15,0.04,0,0,0,0,1.85,0.05,0.23,0,0.49,0.15,0.68,0.03,0,2.72,0.01,0.93,3.22,0.23,0,1.43,3.08,0.16,0.27,0.32,0,0.13,0.15,0.01,0.31,0.38,0,0,0,0,0.34,0.2,0.14,0.17,0.36,0.2,0
Comedy of Errors,1,Comedy,1594,1589,4.02,0.92,0.02,0.25,0.25,0.39,0.42,0.07,0.92,0.64,0.18,0.8,1.13,2.54,0.17,0.11,0.17,0.01,0,0.61,0.42,0.68,0,1,3.66,1.7,0.46,0.81,0,0.41,0.01,0.01,0.01,0,0.05,0.47,0,0,0.73,0.01,0.01,0.03,1.39,0.01,0.69,0.03,0.52,0.05,0.01,0.01,0.85,1.36,0.08,1.03,0.15,0.06,4.13,2.18,0.06,0.03,0.01,0,0,0,1.82,0.03,0.17,0.05,0.5,0.08,0.61,0.06,0,3.2,0,0.76,3.57,0.38,0,1.28,3.24,0.19,0.12,0.43,0.01,0.12,0.17,0,0.31,0.4,0.01,0.01,0.01,0,0.24,0.27,0.14,0.17,0.48,0.12,0.02
Love's Labours Lost,1,Comedy,1594,1594,2.16,0.67,0,0.15,0.23,0.39,0.35,0.09,1.09,0.42,0.17,1.02,1.98,1.94,0.09,0.08,0.16,0.02,0.01,0.65,0.57,0.66,0,1.59,3.99,1.17,0.25,0.75,0.01,0.46,0.01,0.01,0.02,0,0.05,0.43,0.02,0,0.99,0.02,0.02,0,2.3,0.01,0.63,0.01,0.5,0.03,0.01,0,0.71,1.18,0.09,0.96,0.23,0.06,3.08,1.77,0.12,0.05,0,0,0,0,1.32,0.1,0.25,0,0.7,0.14,0.72,0.1,0,2.56,0.02,1.14,4.26,0.33,0,1.69,2.74,0.16,0.21,0.43,0,0.11,0.17,0.02,0.27,0.24,0,0.01,0.01,0,0.31,0.29,0.11,0.22,0.52,0.1,0
Romeo and Juliet,1,Tragedy,1595,1594,2.71,0.69,0,0.17,0.27,0.22,0.34,0.05,0.85,0.6,0.3,0.72,2.02,2.81,0.12,0.14,0.31,0.01,0.01,0.79,0.43,0.58,0,1.71,3.77,1.51,0.37,0.97,0,0.6,0,0.01,0.03,0,0.04,0.33,0,0,0.63,0,0.02,0.01,1.48,0.01,0.53,0.01,0.5,0.04,0,0.01,0.78,1.21,0.05,1.05,0.11,0.05,3.52,1.91,0.1,0.01,0,0,0,0,1.52,0.1,0.2,0,0.65,0.11,0.76,0.07,0.01,2.34,0,1.32,3.58,0.31,0,1.69,2.99,0.16,0.16,0.41,0,0.07,0.12,0.02,0.41,0.32,0,0.02,0.01,0,0.41,0.22,0.08,0.21,0.65,0.17,0.03
