ngram,corpus frequency,document frequency,rank in corpus
the,312353,554,1
and,299811,554,2
to,262384,554,3
of,197448,554,4
you,190040,554,5
my,166041,554,6
is,145673,554,7
in,139417,554,8
that,137864,554,9
it,126818,554,10
not,106673,554,11
your,105693,554,12
me,101853,554,13
for,99429,554,14
will,98328,554,15
be,94541,554,16
but,88294,554,17
with,88063,554,18
have,85150,554,19
this,81709,554,20
he,74317,553,21
his,73346,554,22
as,70214,554,23
so,61887,554,24
her,60932,553,25
what,59479,554,26
all,59413,554,27
him,54193,554,28
shall,52563,554,29
are,51653,554,30
do,50812,554,31
thou,50413,552,32
no,48886,554,33
by,47035,554,34
we,46999,554,35
then,46781,553,36
if,44739,554,37
sir,44254,534,38
thy,43811,552,39
now,42730,554,40
our,37039,554,41
or,36790,554,42
they,35711,554,43
she,34670,551,44
would,32785,554,45
on,32466,554,46
at,32465,554,47
from,31544,553,48
thee,30929,549,49
their,30038,553,50
am,29935,554,51
was,29515,554,52
which,29410,554,53
may,28981,554,54
love,28673,552,55
has,28444,552,56
how,28290,552,57
more,28236,554,58
good,27844,554,59
there,26997,554,60
here,26319,554,61
come,26297,554,62
yet,25896,554,63
let,25892,554,64
can,25574,554,65
must,25482,554,66
when,25467,554,67
see,23891,554,68
one,23688,554,69
know,23444,551,70
well,23115,554,71
had,22966,554,72
make,22753,554,73
should,22674,554,74
us,22498,553,75
such,21620,553,76
man,21310,554,77
were,21291,554,78
upon,20633,551,79
an,20406,554,80
too,20249,543,81
them,20242,553,82
like,19850,553,83
self,19610,554,84
some,19172,551,85
these,18713,553,86
did,18603,554,87
lord,18115,521,88
why,17907,553,89
out,17523,554,90
take,16971,552,91
where,16099,554,92
never,15710,553,93
go,15623,553,94
say,15502,550,95
think,14852,551,96
who,14828,554,97
does,14790,552,98
give,14597,553,99
much,14435,553,100
any,14328,554,101
up,14143,553,102
ye,13444,465,103
nor,13097,554,104
own,12238,552,105
tell,12187,554,106
life,12099,550,107
heart,12061,549,108
time,12022,552,109
great,11977,552,110
most,11892,551,111
mine,11640,545,112
thus,11632,552,113
could,11430,546,114
made,11198,553,115
though,10849,549,116
men,10589,551,117
death,10580,541,118
king,10489,440,119
cannot,10474,548,120
speak,10420,549,121
into,10277,551,122
art,10221,551,123
those,10145,549,124
still,10095,550,125
ever,10056,553,126
first,9889,551,127
pray,9867,545,128
oh,9867,478,128
again,9762,551,129
unto,9756,526,130
before,9694,552,131
fair,9490,544,132
both,9465,553,133
lady,9344,496,134
nay,9317,539,135
leave,9311,553,136
hear,9286,552,137
father,9047,531,138
honor,9030,541,139
