TCP,ESTC ,text_name,html_name,serendipFilename,Title,Title 30 Char or fewer,Author,Date,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Keywords,Call Number,"Verse, Prose, Mixed ",Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Notes
A00024,S118662,A00024.headed.txt,a00024headed_Docuscope.html,A00024_1622_Peacewithherfouregar,"Peace with her foure garders. Viz. fiue morall meditations: of concord, chastitie, constancie. Courtesie. Grauitie. Eschew euill, and doe good, seeke peace and ensue it.",FiveMoralMeditations,"Aylett, Robert, 1583-1655?",1622,8°,,1622,London :,"Printed [by G. Purslowe] for Iohn Teage, and are to be sold at his shop in Pauls Church-yard at the signe of the Ball,",Conduct of life -- Early works to 1800.,,verse,IR,INST,
A00033,S846,A00033.headed.txt,a00033headed_Docuscope.html,A00033_1569_Aduertismentspartlyf,"Aduertisments partly for due order in the publique administration of common prayers and vsinge the holy sacramentes, and partly for the apparrell of all persons ecclesiasticall by vertue of the Queenes Maiesties letters commaunding the same, the xxv. day",AdvertisementForDueOrder,,[1569?],4°,,1569,Imprinted at London :,"By Reginalde Wolfe,",Church of England -- Ceremonies and practices.,,prose,STA,STA,
A00102,S850,A00102.headed.txt,a00102headed_Docuscope.html,A00102_1559_Iniunctionsgevenbyth,"Iniunctions geven by the Quenes Maiestie anno Domini MD.LIX., the fyrst yeare of the raigne of our Soueraigne Lady Quene Elizabeth.",InjunctionsByQueenElizabeth,England and Wales. Sovereign (1558-1603 : Elizabeth I)|Elizabeth 1533-1603.,[1559?],4°,,1559,[London] :,"Imprinted at London in Poules church yarde by Richard Iugge and Iohn Cawood ...,",Church of England -- Government.|Ecclesiastical law -- England.,,prose,STA,STA,
A00198,S101624,A00198.headed.txt,a00198headed_Docuscope.html,A00198_1554_Articlestobeenquired,Articles to be enquired of in the generall visitation of Edmonde Bisshoppe of London exercised by him the yeare of oure Lorde. 1.5.5.4. in the citie and diocese of London ...|Visitation articles. 1554|Visitation articles. 1554.,VisitationArticlesBishopLondon,"Church of England. Diocese of London. Bishop (1539-1549, 1553-1559 : Bonner)|Bonner, Edmund, 1500?-1569.",Anno. M.D.LIIII. mense Septembri],4°,,1554,[Excusum Londini :,"In ædibus Iohannis Cawodi typographi Regiæ Maiestatis,","Church of England -- Diocese of London -- Early works to 1800.|Visitations, Ecclesiastical -- England -- London.",,prose,STA,STA,"should religious decrees as well as legal decrees be considered ""STA"" in this period? -- Katie thinks so"
A00235,S113442,A00235.headed.txt,a00235headed_Docuscope.html,A00235_1635_AnewsongcalledJackeD,"A new song, called Jacke Doues resolution by which he doth show, that he cares not a rush how ere the world goe. To the tune of, To driue the cold winter away.|Jacke Doves resolution|Jacke Doves resolution|New song, called Jacke Doves resolution.",JackDovesResolutionANewSong,"G. B., fl. 1592-1597.",[ca. 1635],1°,single-sided,1635,Printed at London :,"for Iohn Wright and are to be sold at his shop in Giltspur-street at the signe of the Bible,","Ballads, English -- 17th century.",,verse,NN,NARR,
A00275,S111870,A00275.headed.txt,a00275headed_Docuscope.html,A00275_1566_TomyfaythfullBrethre,"To my faythfull Brethren now affycted,  to all those that vnfaynedly loue the Lorde Jesus, the Lorde guyde vs with his holy spret, that we maye always serue hym bothe in body and mynde in all synceryte to oure lyues ende.",LordGuideUsToServeHim,"Whittingham, William, d. 1579,",1566],8°,,1566,[Emden :,"E. van der Erve,",Church vestments -- England -- Early works to 1800.,,prose,IR,ARG,"title should read ""afflycted"" (l is missing in this spreadsheet)"
A00320,S101675,A00320.headed.txt,a00320headed_Docuscope.html,A00320_1534_BellumErasmiTranslat,Bellum Erasmi¨ Translated into englyshe.|Adagia. Chil. IV Cent. I. English|Adagia. Chil. IV Cent. I.,ErasmusAgainstWar,"Erasmus, Desiderius, d. 1536.","An. M.D.XXXIII. [1533, i.e. 1534]",8°,,1534,Londini :,"In aedibus Tho. Bertheleti,",War -- Early works to 1800.,,prose,EX,ARG,
A00329,S118122,A00329.headed.txt,a00329headed_Docuscope.html,A00329_1534_YedyalogecalledFunus,"[Ye dyaloge called Funus].|Colloquia. Selections|Colloquia. Selections.|Good and a godly admonicion or warnynge, very behouefull for euery chrysten man to loke upon.|Good and a godly admonicion or warnynge, very behovefull for every chrysten man to loke u",ErasmusWritings,"Erasmus, Desiderius, d. 1536.",[1534]],8°,,1534,[At London :,"By Robert copland, [sic] for Iohan Byddell, otherwyse Salysbury. the .v. daye of Ianuary, and be for to sell lat ye sygne of our lady of pyte nexte to flete brydge,",Death -- Early works to 1800.,,prose,IS or IR?,INST,"leaning toward IR - emphasis on ""godliness"" and addressed to Christian audience"
A00331,S111331,A00331.headed.txt,a00331headed_Docuscope.html,A00331_1540_Adialogeorcommunicat,"A dialoge or communication of two persons deuysyd and set forthe in the late[n] tonge, by the noble and famose clarke. Desiderius Erasmus intituled [the] pylgremage of pure deuotyon. Newly tra[n]slatyd into Englishe.|Colloquia. English. Selections|Colloqu",PilgrimageOfPureDevotion,"Erasmus, Desiderius, d. 1536.",1540?],8°,,1540,[London? :,"n.p.,","Dialogues, English -- Early works to 1800.",,prose,IR,INST,
A00338,S113434,A00338.headed.txt,a00338headed_Docuscope.html,A00338_1545_Averypleasauntandfru,"A very pleasaunt [and] fruitful diologe called the Epicure, made by that famous clerke Erasmus of Roterodame, newly translated. 1545.|Colloquia. English. Selections|Colloquia.|Epicure.",TheEpicureADialogByErasmus,"Erasmus, Desiderius, d. 1536.|Gerrard, Philip,","the. XXIX. daie of Iuly, the yere of our Lorde. M.D.XLV. [1545]]",8°,,1545,[Imprinted at London :,"VVithin the precinct of the late dissolued house of the gray Friers, by Richarde Grafton, printer too the princes grace,","Dialogues, English -- Early works to 1800.",,prose,IR,INST,
