column_name,column_description
text_name,filename of plain text file from VEP TCP Collection
and,TCP Top 100 Words Rank 1
of,TCP Top 100 Words Rank 2
to,TCP Top 100 Words Rank 3
in,TCP Top 100 Words Rank 4
that,TCP Top 100 Words Rank 5
is,TCP Top 100 Words Rank 6
it,TCP Top 100 Words Rank 7
be,TCP Top 100 Words Rank 8
his,TCP Top 100 Words Rank 9
for,TCP Top 100 Words Rank 10
as,TCP Top 100 Words Rank 11
he,TCP Top 100 Words Rank 12
not,TCP Top 100 Words Rank 13
by,TCP Top 100 Words Rank 14
with,TCP Top 100 Words Rank 15
which,TCP Top 100 Words Rank 16
but,TCP Top 100 Words Rank 17
they,TCP Top 100 Words Rank 18
this,TCP Top 100 Words Rank 19
or,TCP Top 100 Words Rank 20
all,TCP Top 100 Words Rank 21
their,TCP Top 100 Words Rank 22
was,TCP Top 100 Words Rank 23
so,TCP Top 100 Words Rank 24
are,TCP Top 100 Words Rank 25
have,TCP Top 100 Words Rank 26
them,TCP Top 100 Words Rank 27
him,TCP Top 100 Words Rank 28
from,TCP Top 100 Words Rank 29
we,TCP Top 100 Words Rank 30
god,TCP Top 100 Words Rank 31
you,TCP Top 100 Words Rank 32
at,TCP Top 100 Words Rank 33
our,TCP Top 100 Words Rank 34
will,TCP Top 100 Words Rank 35
if,TCP Top 100 Words Rank 36
had,TCP Top 100 Words Rank 37
were,TCP Top 100 Words Rank 38
no,TCP Top 100 Words Rank 39
shall,TCP Top 100 Words Rank 40
my,TCP Top 100 Words Rank 41
may,TCP Top 100 Words Rank 42
an,TCP Top 100 Words Rank 43
upon,TCP Top 100 Words Rank 44
then,TCP Top 100 Words Rank 45
there,TCP Top 100 Words Rank 46
one,TCP Top 100 Words Rank 47
any,TCP Top 100 Words Rank 48
who,TCP Top 100 Words Rank 49
when,TCP Top 100 Words Rank 50
do,TCP Top 100 Words Rank 51
what,TCP Top 100 Words Rank 52
such,TCP Top 100 Words Rank 53
more,TCP Top 100 Words Rank 54
on,TCP Top 100 Words Rank 55
us,TCP Top 100 Words Rank 56
has,TCP Top 100 Words Rank 57
other,TCP Top 100 Words Rank 58
these,TCP Top 100 Words Rank 59
your,TCP Top 100 Words Rank 60
her,TCP Top 100 Words Rank 61
man,TCP Top 100 Words Rank 62
should,TCP Top 100 Words Rank 63
some,TCP Top 100 Words Rank 64
me,TCP Top 100 Words Rank 65
would,TCP Top 100 Words Rank 66
great,TCP Top 100 Words Rank 67
yet,TCP Top 100 Words Rank 68
unto,TCP Top 100 Words Rank 69
christ,TCP Top 100 Words Rank 70
being,TCP Top 100 Words Rank 71
into,TCP Top 100 Words Rank 72
those,TCP Top 100 Words Rank 73
out,TCP Top 100 Words Rank 74
men,TCP Top 100 Words Rank 75
good,TCP Top 100 Words Rank 76
only,TCP Top 100 Words Rank 77
now,TCP Top 100 Words Rank 78
lord,TCP Top 100 Words Rank 79
made,TCP Top 100 Words Rank 80
time,TCP Top 100 Words Rank 81
said,TCP Top 100 Words Rank 82
before,TCP Top 100 Words Rank 83
first,TCP Top 100 Words Rank 84
did,TCP Top 100 Words Rank 85
much,TCP Top 100 Words Rank 86
also,TCP Top 100 Words Rank 87
must,TCP Top 100 Words Rank 88
many,TCP Top 100 Words Rank 89
against,TCP Top 100 Words Rank 90
can,TCP Top 100 Words Rank 91
thou,TCP Top 100 Words Rank 92
most,TCP Top 100 Words Rank 93
things,TCP Top 100 Words Rank 94
after,TCP Top 100 Words Rank 95
thy,TCP Top 100 Words Rank 96
make,TCP Top 100 Words Rank 97
same,TCP Top 100 Words Rank 98
own,TCP Top 100 Words Rank 99
how,TCP Top 100 Words Rank 100
# Word Tokens,total number of word tokens per text
