column_name,column_description
TCP,"the ID associated with the file, linking the transcription to a text in EEBO, ECCO, or Evans"
text_name,filename of plain text file uploaded to Ubiquity for tagging
text_key,key provided by Ubiquity used to identify the uploaded texts
token_csv_name,name generated for token csv file corresponding to uploa
chunk_index,an integer that specifies the text chunk number for chunked files; starts at 0 and increases sequentially
!UNRECOGNIZED,"percentage of text input that is not recognized by the docuscope dictionary, often proper nouns or obscure words"
!UNTAGGED,percentage of text input that is contained within at least one rule within the docuscope dictionary but doesn't get tagged because the text around it matches no specific rules
!BLACKLISTED,percentage of text input that matches content set to blacklisted
AbstractConcepts,"The use of words indicating abstract concepts (e.g., metaphysics), a category including a very large set of latin (tion, sion, ment, ogy) or greek (logy) suffixes and other patterns indicating abstract general concepts, like sociological or anthropological."
Acknowledge,"The use of words that give public notice of gratitude to persons (e.g., I acknowledge your help, thank you). Acknowlegments can also work in contexts that have nothing to do with gratitude. See apology and concessions for these types of acknowledgments. "
Anger,The use of words referencing anger.
Apology,"The use of words indicating apology (e.g., I'm sorry). "
Aside,"The use of words indicating a side comment or return from one (e.g., by the way, anyway)."
Attack_Citation,A citation attacking a previous source.
Authoritative_Citation,A citation of a source that knows.
Autobio,"The use of words indicating self-reference (e.g., First Person, I, me, my) in combination with a form of have or used-to to signal an individual mind reflecting back on a personal past (e.g., I have, I have always, I used to)."
Biographical_Time,"The use of words marking milestones in a person's life (e.g.,in her youth, she would never again). Time intervals that reflect back upon a whole life lived. Commonly used by the omnicient narrator in fiction and by the writer of obituaries."
Cause,"The use of words indicating causation, or cause-consequence sequence, which, like any sequential process, unfolds in time (e.g., cause to consequence). A process whose earlier phases are responsible for bringing about the later phases. The focus of this LAT is the early phases, the causes."
Citations,"The use of words indicating external sources (e.g., according to, to cite, to quote from the words of, some have argued that)."
CommonAuthorities,"The use of words making direct reference to public or institutional authorities, already familiar and respected in the culture (e.g., founding fathers, Emirs, parliamentary course of action, duly authorized)."
CommunicatorRole,"The use of words referencing a formal communication situation (eg. ""speaker"" ""listener"" ""audience"")."
Comparison,"The use of words indicating conceptual similarity and difference, like ""more"" or ""fewer."" "
Concessive,"The use of words indicating that another and overridable point of view is available (e.g., although, even if, it must be acknowledged). The public acknowledgement of the weaknesses in one's own position or the strengths in the position of an opponent. "
Confidence,"The use of words indicating feelings of absolute knowledge (e.g., completely true, assuredly so)."
ConfirmExperience,"The use of words indicating the confirmation of a just-taken instructional step (e.g., [assuming you took the right step] you will see, you will then see, you will be looking at, you should be looking at)."
ConfirmedThght,"The use of words indicating that the writer agrees to and supports ideas that are already out in the culture and well-known (e.g., I recognize that, I agree with)."
Confront,"The use of words that confront or threaten the addressee (e.g., What were you thinking of?; I'll kick your butt)."
Consequence,"The use of words indicating consequence, or cause-consequence sequence, which, like any sequential process, unfolds in time (e.g., cause to consequence). A process whose earlier phases are responsible for bringing about the later phases. The focus of this LAT is the later phases, the consequences."
Contested_Citation,A citation of a source in a debate.
Contingency,"The use of words indicating contingency (e.g., if, possibly)."
Curiosity,"The use of words involving a reader in a common line of thinking (e.g., what then shall we make of?). Two minds engaged in intellectual problem-solving."
Definition,"The use of words indicating definitions (e.g., is defined as, the meaning of the term)."
DenyDisclaim,"The use of words like not or some other negative element in front of an assertion, which signals the taking away of what a listener or reader might believe (e.g., not the case, not do it, am not a crook)."
DialogCues,"The use of words indicating dialog (e.g., ',""""', she said)."
DirectAddress,"The use of words summoning another's attention (e.g., let us, I advise you, I urge, I urge you to, I recommend, I favor) or making implicit acknowledgement of an interlocutor (e.g., you, trust me, okay now)."
