ngram,corpus frequency,document frequency,rank in corpus
the,26290,36,1
and,23574,36,2
i,19817,36,3
to,18144,36,4
of,16030,36,5
you,13774,36,6
a,13360,36,7
my,12049,36,8
in,10782,36,9
that,10534,36,10
is,9109,36,11
not,8306,36,12
me,7569,36,13
it,7522,36,14
for,7362,36,15
with,7041,36,16
be,6694,36,17
your,6553,36,18
this,6490,36,19
his,6407,36,20
he,6276,36,21
but,5997,36,22
have,5816,36,23
as,5524,36,24
thou,5318,36,25
him,5020,36,26
will,4925,36,27
so,4873,36,28
what,4378,36,29
thy,3756,36,30
do,3749,36,31
no,3709,36,32
her,3653,36,33
by,3586,36,34
all,3557,36,35
shall,3541,36,36
if,3439,36,37
are,3297,36,38
we,3281,36,39
thee,3040,36,40
our,3036,36,41
on,2970,36,42
good,2783,36,43
now,2740,36,44
lord,2654,36,45
come,2516,36,46
from,2496,36,47
sir,2467,36,48
would,2402,36,49
at,2353,36,50
or,2300,36,51
they,2269,36,52
more,2251,36,53
was,2216,36,54
which,2185,36,55
o,2181,36,56
am,2134,36,57
she,2126,36,58
how,2123,36,59
well,2122,36,60
then,2091,36,61
here,2086,36,62
let,2081,36,63
when,1933,36,64
their,1923,36,65
love,1919,36,66
them,1902,36,67
hath,1892,36,68
than,1832,36,69
there,1788,36,70
man,1774,36,71
did,1758,36,72
an,1746,36,73
know,1744,36,74
i'll,1739,36,75
go,1730,36,76
say,1719,36,77
upon,1699,36,78
may,1657,36,79
one,1650,36,80
were,1643,36,81
like,1643,36,81
us,1617,36,82
make,1601,36,83
should,1598,36,84
yet,1515,36,85
had,1500,36,86
see,1469,36,87
must,1460,36,88
why,1448,36,89
tis,1398,36,90
such,1355,36,91
out,1325,36,92
give,1323,36,93
can,1311,36,94
king,1310,34,95
these,1294,36,96
some,1265,36,97
too,1218,36,98
take,1204,36,99
never,1203,36,100
speak,1198,36,101
where,1174,36,102
most,1151,36,103
who,1150,36,104
t,1134,36,105
mine,1096,36,106
think,1066,36,107
tell,1057,36,108
up,1015,36,109
much,1013,36,110
time,995,36,111
heart,926,36,112
nor,911,36,113
great,878,36,114
hear,876,36,115
art,872,36,116
doth,850,36,117
death,836,36,118
men,829,36,119
away,826,36,120
look,814,36,121
life,811,36,122
father,811,35,122
