ngram,corpus frequency,document frequency,rank in corpus
the,25933,36,1
and,23155,36,2
i,20456,36,3
to,18387,36,4
of,15855,36,5
a,13679,36,6
you,13470,36,7
my,12516,36,8
in,10634,36,9
that,10432,36,10
is,8863,36,11
it,8333,36,12
not,8241,36,13
me,7708,36,14
for,7392,36,15
with,6997,36,16
your,6881,36,17
be,6713,36,18
this,6424,36,19
his,6377,36,20
he,6223,36,21
but,5958,36,22
have,5776,36,23
as,5471,36,24
thou,5163,36,25
him,4993,36,26
will,4960,36,27
so,4859,36,28
what,4392,36,29
thy,3923,36,30
then,3863,36,31
do,3719,36,32
no,3709,36,33
her,3674,36,34
shall,3523,36,35
by,3496,36,36
all,3493,36,37
if,3456,36,38
are,3325,36,39
we,3273,36,40
our,3145,36,41
thee,2999,36,42
on,2930,36,43
good,2727,36,44
now,2719,36,45
lord,2588,36,46
sir,2489,36,47
come,2473,36,48
from,2460,36,49
would,2353,36,50
at,2337,36,51
or,2272,36,52
they,2255,36,53
more,2237,36,54
was,2189,36,55
which,2163,36,56
how,2138,36,57
well,2131,36,58
am,2118,36,59
she,2105,36,60
here,2082,36,61
let,2064,36,62
when,1929,36,63
love,1906,36,64
their,1892,36,65
hath,1885,36,66
them,1866,36,67
there,1788,36,68
man,1776,36,69
did,1759,36,70
i'll,1738,36,71
know,1733,36,72
go,1713,36,73
say,1701,36,74
one,1688,36,75
upon,1676,36,76
may,1665,36,77
like,1646,36,78
were,1638,36,79
us,1609,36,80
should,1586,36,81
make,1585,36,82
had,1498,36,83
yet,1497,36,84
see,1469,36,85
must,1450,36,86
why,1445,36,87
an,1444,36,88
self,1442,36,89
tis,1376,36,90
such,1350,36,91
o,1338,36,92
out,1331,36,93
too,1311,36,94
can,1307,36,95
king,1290,34,96
give,1289,36,97
these,1280,36,98
some,1269,36,99
where,1217,36,100
speak,1188,36,101
take,1184,36,102
who,1157,36,103
most,1131,36,104
mine,1111,36,105
think,1061,36,106
time,1031,36,107
up,1020,36,108
tell,1015,36,109
much,999,36,110
never,988,36,111
nor,888,36,112
oh,886,34,113
great,880,36,114
day,878,36,115
art,876,36,116
heart,872,36,117
hear,866,36,118
doth,848,36,119
death,834,36,120
away,821,36,121
men,818,36,122
look,816,36,123
any,809,36,124
life,808,36,125
hand,808,36,125
made,805,36,126
father,803,35,127
very,795,36,128
true,752,36,129
thus,750,36,130
night,749,36,131
cannot,747,36,132
sweet,732,36,133
again,728,36,134
pray,721,36,135
own,721,36,135
before,717,36,136
fair,711,36,137
heaven,672,36,138
against,654,36,139
god,647,33,140
leave,639,36,141
hast,637,36,142
done,637,36,142
could,636,36,143
ever,629,36,144
name,628,36,145
into,622,36,146
blood,619,36,147
being,619,36,147
fear,617,36,148
noble,616,34,149
eyes,614,36,150
son,611,34,151
nothing,609,36,152
therefore,608,36,153
lady,604,36,154
poor,603,36,155
master,599,35,156
world,598,36,157
old,598,36,157
comes,598,36,157
till,597,36,158
honour,594,36,159
down,594,36,159
whose,591,36,160
nay,588,36,161
though,586,36,162
both,573,36,163
better,570,36,164
even,569,36,165
other,563,36,166
call,560,36,167
way,557,36,168
two,557,36,168
grace,556,36,169
stand,548,36,170
many,541,36,171
brother,531,32,172
peace,529,36,173
every,525,36,174
bear,525,36,174
first,519,36,175
find,509,36,176
those,503,36,177
still,498,36,178
dead,496,36,179
might,495,36,180
duke,493,24,181
word,489,36,182
ere,486,36,183
been,486,36,183
live,485,36,184
head,484,36,185
thing,481,36,186
put,476,36,187
little,469,36,188
friends,469,36,188
keep,468,36,189
none,455,36,190
dear,450,36,191
wife,448,35,192
set,447,36,193
long,443,36,194
hold,441,36,195
bring,436,36,196
indeed,435,36,197
since,432,36,198
madam,430,29,199
himself,429,36,200
part,423,36,201
off,423,36,201
soul,421,36,202
gone,420,36,203
unto,419,35,204
best,416,36,205
young,413,35,206
whom,413,36,206
full,413,36,206
stay,412,36,207
queen,412,30,207
words,410,36,208
house,407,36,209
thine,406,36,210
friend,402,36,211
once,401,36,212
place,399,36,213
else,399,36,213
that's,395,36,214
about,394,36,215
face,392,36,216
there's,386,35,217
show,386,36,217
please,386,36,217
gods,386,35,217
thought,385,36,218
tongue,383,36,219
lords,382,32,220
daughter,376,33,221
answer,376,36,221
after,376,36,221
eye,373,36,222
dost,373,35,222
said,370,36,223
france,368,19,224
mistress,364,32,225
fool,363,35,226
welcome,362,36,227
hence,358,36,228
came,358,36,228
gentle,353,36,229
matter,352,35,230
heard,352,36,230
forth,351,36,231
hope,349,36,232
caesar,347,15,233
boy,347,33,233
marry,346,35,234
farewell,346,36,234
right,345,36,235
makes,345,35,235
three,344,35,236
without,342,36,237
prince,339,29,238
faith,338,36,239
bid,337,36,240
ye,333,35,241
power,333,33,241
another,333,36,241
mother,332,36,242
mind,330,36,243
home,330,35,243
nature,328,36,244
morrow,328,35,244
help,328,36,244
mean,327,36,245
cause,327,36,245
sword,325,34,246
what's,322,36,247
things,321,36,248
back,321,36,248
rather,318,36,249
woman,316,36,250
rest,316,36,250
meet,315,36,251
enough,314,36,252
thousand,313,36,253
does,312,24,254
news,311,35,255
wilt,309,35,256
use,306,36,257
only,306,36,257
truth,304,36,258
fortune,304,34,258
get,303,36,259
fellow,303,36,259
he's,301,33,260
within,300,36,261
follow,300,33,261
fall,300,36,261
hands,298,36,262
pardon,297,36,263
hither,292,36,264
while,289,36,265
end,289,36,265
sure,288,36,266
thank,286,35,267
husband,286,31,267
play,285,35,268
honest,285,34,268
earth,285,36,268
shame,283,35,269
rome,280,16,270
shalt,278,35,271
state,277,36,272
lay,275,36,273
bed,275,35,273
iohn,274,16,274
dye,274,30,274
gentleman,271,33,275
reason,270,36,276
fathers,268,35,277
tears,267,35,278
far,267,36,278
sent,266,36,279
under,265,36,280
kind,265,36,280
false,263,36,281
