TCP,ESTC
A00001,S115782
A00002,S115415
A00003,S101513
A00005,S106695
A00007,S108645
A00008,S113665
A00009,S118410
A00011,S101178
A00012,S118664
A00013,S2616
A00014,S3200
A00015,S101184
A00018,S115521
A00019,S112594
A00021,S101177
A00024,S118662
A00025,S3065
A00026,S3055
A00028,S2071
A00033,S846
A00034,S100330
A00044,S3157
A00049,S118663
A00060,S100367
A00075,S101528
A00089,R212834
A00091,S108738
A00092,S111907
A00094,S108749
A00102,S850
A00113,S106657
A00116,S108733
A00118,S112543
A00120,S112645
A00122,S4662
A00123,S118975
A00125,S120521
A00126,S2086
A00132,S112404
A00136,S421
A00142,S100373
A00149,S2091
A00151,S2092
A00153,S856
A00154,S2093
A00155,S121382
A00156,S115847
A00157,S112407
A00158,S857
A00159,S2631
A00164,S115848
A00165,S858
A00166,S115849
A00167,S2634
A00168,S2635
A00170,S111833
A00171,S2094
A00173,S100557
A00176,S2097
A00177,S860
A00179,S1525
A00181,S862
A00183,S4279
A00184,S4280
A00185,S4281
A00186,S120530
A00187,S1243
A00188,S100552
A00190,S422
A00191,S2637
A00193,S863
A00198,S101624
A00200,S115852
A00201,S116787
A00204,S866
A00206,S111851
A00209,S116564
A00211,S2639
A00214,S101627
A00215,S3426
A00216,S3089
A00218,S120552
A00220,S2098
A00222,S111858
A00225,S2642
A00227,S101631
A00228,S120553
A00229,S120555
A00230,S2099
A00231,S113334
A00233,S122526
A00234,S1049
A00235,S113442
A00240,S2646
A00241,S2647
A00244,S2101
A00249,S116626
A00250,S869
A00253,S2650
A00254,S871
A00256,S2106
A00257,S117265
A00259,S118909
A00260,S2651
A00261,S103779
A00263,S874
A00265,S2107
A00267,S111863
A00268,S111867
A00269,S2654
A00271,S116630
A00272,S2656
A00273,S115543
A00274,S101663
A00275,S111870
A00276,S120239
A00277,S111875
A00278,S119567
A00279,S111887
A00280,S111888
A00281,S101105
A00282,S101664
A00283,S111889
A00284,S101361
A00285,S124184
A00286,S101634
A00287,S3172
A00288,S3350
A00289,R212270
A00290,S1050
A00291,S109988
A00292,S3058
A00293,S120228
A00294,S2109
A00296,S118018
A00297,S104444
A00299,S2110
A00301,S101652
A00303,S101646
A00307,S2111
A00308,S112251
A00309,S105525
A00313,S2657
A00316,S105498
A00320,S101675
A00321,S4124
A00325,S119187
A00327,S105526
A00329,S118122
A00331,S111331
A00332,S115556
A00333,S121852
A00336,S111335
A00337,S115252
A00338,S113434
A00341,S116236
A00342,S120574
A00344,S105527
A00349,S2112
A00350,S878
A00354,S105528
A00356,S109811
A00358,S2113
A00361,S109306
A00363,S105494
A00364,S100377
A00374,S109902
