TCP,# of Figures
A01622,2789
A28859,2412
A51379,1495
A00429,1289
A03448,1280
A01675,1262
A42323,1224
A19628,1187
A09011,1184
A85770,1041
A19989,881
A20579,877
A36799,751
A19988,731
A80180,721
A16939,663
A68764,551
A14059,520
A28396,517
A03048,479
A48960,478
A92892,476
A11922,424
A73757,418
A05115,390
A13053,388
A16477,373
A68218,371
A16189,352
A66732,346
A70650,345
A62149,343
A55895,327
A08911,321
A97376,312
A42668,312
A64804,307
K053268.000.xml,305
A63414,278
A07600,273
A10467,271
A65823,260
A39861,251
A15140,250
A12110,249
A46231,235
A71305,234
A39396,220
A12738,217
A70807,216
A08907,216
A52251,215
A07439,213
A08536,210
A03184,208
K113180.001.xml,208
A50014,208
A36791,208
A15631,208
A09202,206
A10541,205
K118158.000.xml,204
A68943,199
A03318,197
A09144,181
A05782,178
A34111,177
A55155,174
A39331,171
A10708,170
K114986.004.xml,169
A07095,168
A68187,168
A14722,167
A97352,166
A60695,162
A30105,162
A03362,162
A04386,161
A51369,160
A00028,160
A05439,156
A13415,156
A13472,155
B18452,150
A36723,150
A77798,144
A33988,143
A16392,140
A30109,137
K107399.000.xml,137
A30887,137
A13820,134
A01658,134
A39333,131
A20458,131
A20403,127
A08538,127
A68837,126
A57086,126
A34837,126
A53222,122
A01569,120
K047798.000.xml,118
A26565,118
A48704,117
A16401,117
A41880,117
A01673,117
A59124,116
A48331,116
A54500,116
A80170,116
A16081,115
A09010,115
A77390,114
A52346,114
A66541,114
A17832,113
A26496,112
A10349,111
A14257,110
A65620,109
A28936,108
A33136,107
A61053,106
A49269,106
A13381,106
A08347,106
A67424,105
A10530,105
A58845,105
A10649,104
A69244,104
A05777,103
A05092,102
A73514,102
A53224,101
A07653,101
A65112,100
A63641,99
A38803,99
A00425,99
A16248,99
A48262,98
A51184,98
A70735,98
A00580,98
B00108,98
A93913,97
A04919,96
A20992,96
A05657,95
A68624,95
A43987,94
A62469,94
A05316,94
A61047,94
A11378,94
A93914,93
A20495,93
A38471,93
A26564,92
A19700,92
A16221,92
A37482,92
A01095,91
A34010,91
A60373,89
A03653,89
A07388,88
A14559,87
A28389,86
A52264,86
A66534,85
A08064,85
A01504,85
A16638,85
A54729,84
A42100,83
A53812,83
A75932,81
A26563,81
A35234,81
A56969,80
A16308,79
A51275,79
A53227,78
K097310.004.xml,77
A33999,76
K080052.002.xml,75
A18462,75
A51768,75
A21607,74
A44907,74
A04863,74
A06817,74
B05788,73
A31102,73
A29839,72
A09802,71
A51759,71
A03968,70
A71329,70
A66516,70
A05389,70
A06903,69
B01490,69
A03459,69
A50048,69
A36730,69
A64730,69
A35228,68
A67926,68
A68294,67
A81447,67
A52487,67
A33335,67
