TCP,Primary Language,Secondary Language
A00075,Latin,
A00156,Latin,
A00164,Latin,
A00313,,Latin
A00325,Latin,
A00344,,Latin
A00399,French,
A00439,Latin,
A00465,Latin,
A00533,Latin,
A00573,Latin,
A00687,Scots English,
A00694,,Italian
A00706,Latin,
A00990,,Italian
A00991,,Italian
A01045,,Latin
A01083,,Latin
A01129,Latin,
A01224,,"Latin, Italian, French, Spanish"
A01429,Latin,
A01430,Latin ,
A01476,Latin,
A01556,Scots English,Latin
A01598,Latin,
A01639,Latin,
A01673,,Dutch
A01769,Latin,
A01809,Latin,
A01810,Latin,
A01838,Latin,
A01919,Latin,
A01931,Latin,
A02026,French,
A02272,Welsh,
A02274,Welsh,
A02334,,"Italian, Latin, French"
A02379,Latin,
A02602,Scots English,Latin
A02662,Latin,
A02832,,Latin
A02960,French,
A03007,Scots English,
A03024,Scots English,
A03054,Latin,
A03056,Latin,
A03067,Latin,
A03068,Latin,
A03456,,Latin
A03459,Latin,
A03461,Latin,
A03484,,Latin
A03486,Latin,
A03681,Latin,
A03780,,Latin
A03825,,"Latin, French"
A03834,Latin,
A03835,Latin,
A03836,Latin,
A03837,Latin,
A03838,Latin,
A03840,,Scots English
A03888,Latin,
A03932,Latin,
A03983,Latin,
A03987,Latin,
A03990,Latin,
A04001,Latin,
A04002,Latin,
A04009,Latin,
A04014,Latin,
A04018,Latin,
A04023,Latin,
A04041,Latin,
A04113,French,
A04114,Dutch,
A04235,,Latin
A04259,French,
A04262,,Latin
A04462,Welsh,
A04513,French,
A04589,Latin,
A04591,Latin,
A04591,Latin,
A04717,Latin,
A04743,,Latin
A04784,Latin,
A04814,Latin,
A04826,Latin,
A04830,Latin,
A04857,Latin,
A05069,Latin,
A05072,French,
A05107,Latin,
A05225,Latin,
A05226,Latin,
A05229,Latin,
A05230,Latin,
A05270,French,
A05293,Latin,
A05295,Latin,
A05296,Latin,
A05298,Latin,
A05299,Latin,
A05301,Latin,
A05302,Latin,
A05316,French,
A05325,,"Latin, Italian"
A05376,,Latin
A05409,,Latin
A05510,,Latin
A05548,Scots English,
A05603,French,
A05684,Latin,
A05722,Latin,
A05777,Latin,
A05782,,Latin
A05861,Latin,
A06059,Latin,
A06105,Italian,
A06149,French,
A06306,German,
A06316,Latin,
A06325,Latin,
A06423,,Latin
A06579,Latin,
A06727,Latin,
A06751,Latin,
A06769,Latin,
A06792,Latin,
A06978,Latin,
A07194,Latin,
A07197,French,
A07382,Latin,
A07470,French,
A07530,Welsh,
A07600,Latin,
A07611,French,
