TCP,text_name,component0,component1
A00001,A00001.headed.txt,-3.086032003,2.605527528
A00002,A00002.headed.txt,-1.728373328,1.812599237
A00003,A00003.headed.txt,-0.985283894,-0.895204151
A00005,A00005.headed.txt,-1.468599778,0.374998905
A00007,A00007.headed.txt,-1.312427321,0.213468035
A00008,A00008.headed.txt,-0.302040427,1.678509041
A00009,A00009.headed.txt,-1.110858617,0.602944881
A00011,A00011.headed.txt,2.616301936,0.749298711
A00012,A00012.headed.txt,-2.946484513,1.363474715
A00013,A00013.headed.txt,-3.414310485,-0.887319545
A00014,A00014.headed.txt,0.280907154,-0.935928883
A00015,A00015.headed.txt,-3.576271616,-0.947171942
A00018,A00018.headed.txt,-0.631833241,0.581026859
A00019,A00019.headed.txt,0.122715314,1.232829839
A00021,A00021.headed.txt,-0.973625021,1.589316803
A00024,A00024.headed.txt,-2.160909572,2.036847876
A00025,A00025.headed.txt,-1.814672399,-3.156572836
A00026,A00026.headed.txt,-2.864912588,-10.46852359
A00028,A00028.headed.txt,-9.145478213,-15.8494141
A00033,A00033.headed.txt,3.778598891,-0.46713615
A00034,A00034.headed.txt,-2.928886223,1.184991995
A00044,A00044.headed.txt,7.203681238,0.243326216
A00049,A00049.headed.txt,-2.361645101,1.517029197
A00060,A00060.headed.txt,-0.447924573,0.96142356
A00075,A00075.headed.txt,0.758484626,-3.835772075
A00089,A00089.headed.txt,6.569446031,0.352371149
A00091,A00091.headed.txt,3.57831529,0.623567652
A00092,A00092.headed.txt,2.825468404,1.551221952
A00094,A00094.headed.txt,3.428713072,1.252107099
A00102,A00102.headed.txt,3.578021961,0.430769973
A00113,A00113.headed.txt,-2.998869933,2.155455241
A00116,A00116.headed.txt,2.998721048,0.252710181
A00118,A00118.headed.txt,3.093897946,0.384247725
A00120,A00120.headed.txt,0.902078424,-0.590799024
A00122,A00122.headed.txt,2.793005415,-1.88325811
A00123,A00123.headed.txt,1.137795758,1.468296593
A00125,A00125.headed.txt,2.855063537,-2.23927373
A00126,A00126.headed.txt,3.929266553,-0.4706034
A00132,A00132.headed.txt,2.667261859,-2.334232833
A00136,A00136.headed.txt,2.200233341,-0.111077091
A00142,A00142.headed.txt,0.25053977,-0.369265832
A00149,A00149.headed.txt,2.428804024,0.350379905
A00151,A00151.headed.txt,2.775910926,0.278395
A00153,A00153.headed.txt,1.834390037,-0.567535622
A00154,A00154.headed.txt,7.158705373,0.576393625
A00155,A00155.headed.txt,2.670491831,-0.685564517
A00156,A00156.headed.txt,-1.269830305,-4.230433382
A00157,A00157.headed.txt,3.299092051,0.405149119
A00158,A00158.headed.txt,2.204060889,-0.325354573
A00159,A00159.headed.txt,2.229006905,-0.407842621
A00164,A00164.headed.txt,-1.693929714,-4.753755785
A00165,A00165.headed.txt,3.533922826,-0.593316768
A00166,A00166.headed.txt,2.845052962,-0.502115774
A00167,A00167.headed.txt,3.747613882,-0.25423212
A00168,A00168.headed.txt,2.353647714,-0.368958766
A00170,A00170.headed.txt,3.586858283,-0.427049116
A00171,A00171.headed.txt,2.808878252,-0.170982104
A00173,A00173.headed.txt,0.840990189,1.400421454
A00176,A00176.headed.txt,3.503535198,-1.286432451
A00177,A00177.headed.txt,3.877307342,-0.064581141
A00179,A00179.headed.txt,-4.217616211,0.455681449
